pmid,title,abstract,year,journal,gold
30000023,Effect of selamectin on MCF-7 breast cancer cells: a study of mitochondrial depolarisation,We investigated selamectin in MCF-7 breast cancer cells. The work focuses on mitochondrial depolarisation. Results are reported with appropriate controls.,2021,J Pharm Sci,1
30000024,Effect of ivermectin on MCF-7 breast cancer cells: a study of PAK1 downregulation,We investigated ivermectin in MCF-7 breast cancer cells. The work focuses on PAK1 downregulation. Results are reported with appropriate controls.,2026,Parasitology,1
30000025,Effect of moxidectin on murine scabies: a study of resistance surveillance,We investigated moxidectin in murine scabies. The work focuses on resistance surveillance. Results are reported with appropriate controls.,2015,J Pharm Sci,0
30000026,Effect of praziquantel on Huh7 hepatocellular carcinoma cells: a study of mass drug administration,We investigated praziquantel in Huh7 hepatocellular carcinoma cells. The work focuses on mass drug administration. Results are reported with appropriate controls.,2024,Br J Cancer,0
30000027,Effect of moxidectin on murine scabies: a study of protein kinase C activation,We investigated moxidectin in murine scabies. The work focuses on protein kinase C activation. Results are reported with appropriate controls.,2025,Parasitology,0
30000028,Effect of albendazole on Onchocerca volvulus: a study of pharmacokinetics,We investigated albendazole in Onchocerca volvulus. The work focuses on pharmacokinetics. Results are reported with appropriate controls.,2017,PLOS ONE,0
30000029,Effect of niclosamide on U87MG glioblastoma cells: a study of protein kinase C activation,We investigated niclosamide in U87MG glioblastoma cells. The work focuses on protein kinase C activation. Results are reported with appropriate controls. Previous work in HepG2 cells reported inhibition of growth.,2023,Br J Cancer,0
30000030,Effect of selamectin on Caenorhabditis elegans: a study of mass drug administration,We investigated selamectin in Caenorhabditis elegans. The work focuses on mass drug administration. Results are reported with appropriate controls.,2025,J Pharm Sci,0
30000031,Effect of selamectin on Onchocerca volvulus: a study of PAK1 downregulation,We investigated selamectin in Onchocerca volvulus. The work focuses on PAK1 downregulation. Results are reported with appropriate controls.,2017,Parasitology,0
30000032,Effect of chloroquine on MCF-7 breast cancer cells: a study of WNT signalling inhibition,We investigated chloroquine in MCF-7 breast cancer cells. The work focuses on WNT signalling inhibition. Results are reported with appropriate controls.,2020,Oncol Rep,0
30000033,Effect of praziquantel on Caenorhabditis elegans: a study of protein kinase C activation,We investigated praziquantel in Caenorhabditis elegans. The work focuses on protein kinase C activation. Results are reported with appropriate controls. Previous work in HepG2 cells reported inhibition of growth.,2015,J Pharm Sci,0
30000034,Effect of doxycycline on U87MG glioblastoma cells: a study of mass drug administration,We investigated doxycycline in U87MG glioblastoma cells. The work focuses on mass drug administration. Results are reported with appropriate controls.,2015,Parasitology,0
30000035,Effect of ivermectin on healthy volunteers: a study of formulation stability,We investigated ivermectin in healthy volunteers. The work focuses on formulation stability. Results are reported with appropriate controls.,2019,J Pharm Sci,0
30000036,Effect of praziquantel on Caenorhabditis elegans: a study of WNT signalling inhibition,We investigated praziquantel in Caenorhabditis elegans. The work focuses on WNT signalling inhibition. Results are reported with appropriate controls.,2020,Oncol Rep,0
30000037,Effect of metformin on Anopheles gambiae: a study of mass drug administration,We investigated metformin in Anopheles gambiae. The work focuses on mass drug administration. Results are reported with appropriate controls.,2022,Oncol Rep,0
30000038,Effect of avermectin B1 on murine scabies: a study of protein kinase C activation,We investigated avermectin B1 in murine scabies. The work focuses on protein kinase C activation. Results are reported with appropriate controls.,2021,Oncol Rep,0
30000039,Effect of albendazole on Caenorhabditis elegans: a study of resistance surveillance,We investigated albendazole in Caenorhabditis elegans. The work focuses on resistance surveillance. Results are reported with appropriate controls.,2017,Br J Cancer,0
30000040,Effect of albendazole on Caenorhabditis elegans: a study of WNT signalling inhibition,We investigated albendazole in Caenorhabditis elegans. The work focuses on WNT signalling inhibition. Results are reported with appropriate controls.,2021,J Pharm Sci,0
30000041,Effect of doxycycline on Onchocerca volvulus: a study of mitochondrial depolarisation,We investigated doxycycline in Onchocerca volvulus. The work focuses on mitochondrial depolarisation. Results are reported with appropriate controls.,2020,Oncol Rep,0
30000042,Effect of selamectin on Anopheles gambiae: a study of pharmacokinetics,We investigated selamectin in Anopheles gambiae. The work focuses on pharmacokinetics. Results are reported with appropriate controls.,2026,Br J Cancer,0
30000043,Effect of ivermectin on Caenorhabditis elegans: a study of mitochondrial depolarisation,We investigated ivermectin in Caenorhabditis elegans. The work focuses on mitochondrial depolarisation. Results are reported with appropriate controls.,2026,Br J Cancer,0
30000044,Effect of niclosamide on Huh7 hepatocellular carcinoma cells: a study of mass drug administration,We investigated niclosamide in Huh7 hepatocellular carcinoma cells. The work focuses on mass drug administration. Results are reported with appropriate controls.,2015,J Pharm Sci,0
30000045,Effect of moxidectin on murine scabies: a study of protein kinase C activation,We investigated moxidectin in murine scabies. The work focuses on protein kinase C activation. Results are reported with appropriate controls.,2025,Br J Cancer,0
30000046,Effect of albendazole on murine scabies: a study of resistance surveillance,We investigated albendazole in murine scabies. The work focuses on resistance surveillance. Results are reported with appropriate controls.,2015,Parasitology,0
30000047,Effect of avermectin B1 on Onchocerca volvulus: a study of protein kinase C activation,We investigated avermectin B1 in Onchocerca volvulus. The work focuses on protein kinase C activation. Results are reported with appropriate controls.,2020,Br J Cancer,0
30000048,Effect of ivermectin on Caenorhabditis elegans: a study of WNT signalling inhibition,We investigated ivermectin in Caenorhabditis elegans. The work focuses on WNT signalling inhibition. Results are reported with appropriate controls.,2018,Br J Cancer,0
30000049,Effect of avermectin B1 on Huh7 hepatocellular carcinoma cells: a study of apoptosis induction,We investigated avermectin B1 in Huh7 hepatocellular carcinoma cells. The work focuses on apoptosis induction. Results are reported with appropriate controls.,2017,Br J Cancer,1
30000050,Effect of praziquantel on MCF-7 breast cancer cells: a study of WNT signalling inhibition,We investigated praziquantel in MCF-7 breast cancer cells. The work focuses on WNT signalling inhibition. Results are reported with appropriate controls.,2015,Parasitology,0
30000051,Effect of moxidectin on Anopheles gambiae: a study of WNT signalling inhibition,We investigated moxidectin in Anopheles gambiae. The work focuses on WNT signalling inhibition. Results are reported with appropriate controls.,2023,PLOS ONE,0
30000052,Effect of praziquantel on murine scabies: a study of formulation stability,We investigated praziquantel in murine scabies. The work focuses on formulation stability. Results are reported with appropriate controls.,2025,Br J Cancer,0
30000053,Effect of doxycycline on murine scabies: a study of protein kinase C activation,We investigated doxycycline in murine scabies. The work focuses on protein kinase C activation. Results are reported with appropriate controls.,2021,Parasitology,0
30000054,Effect of avermectin B1 on Anopheles gambiae: a study of mass drug administration,We investigated avermectin B1 in Anopheles gambiae. The work focuses on mass drug administration. Results are reported with appropriate controls.,2025,J Pharm Sci,0
30000055,Effect of selamectin on Caenorhabditis elegans: a study of protein kinase C activation,We investigated selamectin in Caenorhabditis elegans. The work focuses on protein kinase C activation. Results are reported with appropriate controls.,2015,Br J Cancer,0
30000056,Effect of ivermectin on Caenorhabditis elegans: a study of protein kinase C activation,We investigated ivermectin in Caenorhabditis elegans. The work focuses on protein kinase C activation. Results are reported with appropriate controls.,2019,J Pharm Sci,0
30000057,Effect of niclosamide on murine scabies: a study of mitochondrial depolarisation,We investigated niclosamide in murine scabies. The work focuses on mitochondrial depolarisation. Results are reported with appropriate controls.,2016,Oncol Rep,0
30000058,Effect of ivermectin on Caenorhabditis elegans: a study of protein kinase C activation,We investigated ivermectin in Caenorhabditis elegans. The work focuses on protein kinase C activation. Results are reported with appropriate controls.,2015,J Pharm Sci,0
30000059,Effect of metformin on murine scabies: a study of protein kinase C activation,We investigated metformin in murine scabies. The work focuses on protein kinase C activation. Results are reported with appropriate controls.,2016,Parasitology,0
30000060,Effect of albendazole on murine scabies: a study of mitochondrial depolarisation,We investigated albendazole in murine scabies. The work focuses on mitochondrial depolarisation. Results are reported with appropriate controls.,2026,Parasitology,0
30000061,Effect of albendazole on Anopheles gambiae: a study of mitochondrial depolarisation,We investigated albendazole in Anopheles gambiae. The work focuses on mitochondrial depolarisation. Results are reported with appropriate controls.,2018,Oncol Rep,0
30000062,Effect of praziquantel on U87MG glioblastoma cells: a study of pharmacokinetics,We investigated praziquantel in U87MG glioblastoma cells. The work focuses on pharmacokinetics. Results are reported with appropriate controls.,2025,Oncol Rep,0
30000063,Effect of praziquantel on U87MG glioblastoma cells: a study of formulation stability,We investigated praziquantel in U87MG glioblastoma cells. The work focuses on formulation stability. Results are reported with appropriate controls.,2015,J Pharm Sci,0
30000064,Effect of chloroquine on Anopheles gambiae: a study of PAK1 downregulation,We investigated chloroquine in Anopheles gambiae. The work focuses on PAK1 downregulation. Results are reported with appropriate controls.,2023,J Pharm Sci,0
30000065,Effect of selamectin on Anopheles gambiae: a study of formulation stability,We investigated selamectin in Anopheles gambiae. The work focuses on formulation stability. Results are reported with appropriate controls.,2015,Br J Cancer,0
30000066,Effect of metformin on murine scabies: a study of resistance surveillance,We investigated metformin in murine scabies. The work focuses on resistance surveillance. Results are reported with appropriate controls.,2025,Br J Cancer,0
30000067,Effect of moxidectin on murine scabies: a study of pharmacokinetics,We investigated moxidectin in murine scabies. The work focuses on pharmacokinetics. Results are reported with appropriate controls.,2020,PLOS ONE,0
30000068,Effect of doxycycline on Onchocerca volvulus: a study of pharmacokinetics,We investigated doxycycline in Onchocerca volvulus. The work focuses on pharmacokinetics. Results are reported with appropriate controls.,2021,Parasitology,0
30000069,Effect of ivermectin on Anopheles gambiae: a study of mitochondrial depolarisation,We investigated ivermectin in Anopheles gambiae. The work focuses on mitochondrial depolarisation. Results are reported with appropriate controls. Previous work in HepG2 cells reported inhibition of growth.,2019,Br J Cancer,0
30000070,Effect of doxycycline on U87MG glioblastoma cells: a study of protein kinase C activation,We investigated doxycycline in U87MG glioblastoma cells. The work focuses on protein kinase C activation. Results are reported with appropriate controls.,2024,Oncol Rep,0
30000071,Effect of metformin on Onchocerca volvulus: a study of mass drug administration,We investigated metformin in Onchocerca volvulus. The work focuses on mass drug administration. Results are reported with appropriate controls.,2020,Br J Cancer,0
30000072,Effect of ivermectin on U87MG glioblastoma cells: a study of mass drug administration,We investigated ivermectin in U87MG glioblastoma cells. The work focuses on mass drug administration. Results are reported with appropriate controls.,2020,Oncol Rep,0
30000073,Effect of ivermectin on Caenorhabditis elegans: a study of formulation stability,We investigated ivermectin in Caenorhabditis elegans. The work focuses on formulation stability. Results are reported with appropriate controls.,2026,Oncol Rep,0
30000074,Effect of niclosamide on murine scabies: a study of resistance surveillance,We investigated niclosamide in murine scabies. The work focuses on resistance surveillance. Results are reported with appropriate controls.,2021,Br J Cancer,0
30000075,Effect of ivermectin on Onchocerca volvulus: a study of resistance surveillance,We investigated ivermectin in Onchocerca volvulus. The work focuses on resistance surveillance. Results are reported with appropriate controls.,2024,Br J Cancer,0
30000076,Effect of selamectin on healthy volunteers: a study of WNT signalling inhibition,We investigated selamectin in healthy volunteers. The work focuses on WNT signalling inhibition. Results are reported with appropriate controls.,2015,Br J Cancer,0
30000077,Effect of praziquantel on U87MG glioblastoma cells: a study of mass drug administration,We investigated praziquantel in U87MG glioblastoma cells. The work focuses on mass drug administration. Results are reported with appropriate controls.,2024,J Pharm Sci,0
30000078,Effect of doxycycline on Caenorhabditis elegans: a study of WNT signalling inhibition,We investigated doxycycline in Caenorhabditis elegans. The work focuses on WNT signalling inhibition. Results are reported with appropriate controls.,2024,Oncol Rep,0
30000079,Effect of ivermectin on Anopheles gambiae: a study of pharmacokinetics,We investigated ivermectin in Anopheles gambiae. The work focuses on pharmacokinetics. Results are reported with appropriate controls.,2020,Parasitology,0
30000080,Effect of ivermectin on U87MG glioblastoma cells: a study of WNT signalling inhibition,We investigated ivermectin in U87MG glioblastoma cells. The work focuses on WNT signalling inhibition. Results are reported with appropriate controls.,2023,J Pharm Sci,1
30000081,Effect of moxidectin on murine scabies: a study of pharmacokinetics,We investigated moxidectin in murine scabies. The work focuses on pharmacokinetics. Results are reported with appropriate controls.,2021,PLOS ONE,0
30000082,Effect of niclosamide on Caenorhabditis elegans: a study of resistance surveillance,We investigated niclosamide in Caenorhabditis elegans. The work focuses on resistance surveillance. Results are reported with appropriate controls.,2026,Parasitology,0
30000083,Effect of doxycycline on Huh7 hepatocellular carcinoma cells: a study of protein kinase C activation,We investigated doxycycline in Huh7 hepatocellular carcinoma cells. The work focuses on protein kinase C activation. Results are reported with appropriate controls.,2017,Oncol Rep,0
30000084,Effect of selamectin on Caenorhabditis elegans: a study of PAK1 downregulation,We investigated selamectin in Caenorhabditis elegans. The work focuses on PAK1 downregulation. Results are reported with appropriate controls.,2016,J Pharm Sci,0
30000085,Effect of moxidectin on healthy volunteers: a study of PAK1 downregulation,We investigated moxidectin in healthy volunteers. The work focuses on PAK1 downregulation. Results are reported with appropriate controls.,2015,Oncol Rep,0
30000086,Effect of praziquantel on Huh7 hepatocellular carcinoma cells: a study of formulation stability,We investigated praziquantel in Huh7 hepatocellular carcinoma cells. The work focuses on formulation stability. Results are reported with appropriate controls.,2018,J Pharm Sci,0
30000087,Effect of niclosamide on HepG2 cells: a study of pharmacokinetics,We investigated niclosamide in HepG2 cells. The work focuses on pharmacokinetics. Results are reported with appropriate controls.,2015,PLOS ONE,0
30000088,Effect of avermectin B1 on MCF-7 breast cancer cells: a study of apoptosis induction,We investigated avermectin B1 in MCF-7 breast cancer cells. The work focuses on apoptosis induction. Results are reported with appropriate controls.,2021,Parasitology,1
30000089,Effect of albendazole on Caenorhabditis elegans: a study of mass drug administration,We investigated albendazole in Caenorhabditis elegans. The work focuses on mass drug administration. Results are reported with appropriate controls.,2018,PLOS ONE,0
30000090,Effect of praziquantel on healthy volunteers: a study of mitochondrial depolarisation,We investigated praziquantel in healthy volunteers. The work focuses on mitochondrial depolarisation. Results are reported with appropriate controls.,2024,Parasitology,0
30000091,Effect of praziquantel on murine scabies: a study of formulation stability,We investigated praziquantel in murine scabies. The work focuses on formulation stability. Results are reported with appropriate controls.,2019,Br J Cancer,0
30000092,Effect of praziquantel on healthy volunteers: a study of mass drug administration,We investigated praziquantel in healthy volunteers. The work focuses on mass drug administration. Results are reported with appropriate controls.,2016,Br J Cancer,0
30000093,Effect of chloroquine on healthy volunteers: a study of WNT signalling inhibition,We investigated chloroquine in healthy volunteers. The work focuses on WNT signalling inhibition. Results are reported with appropriate controls.,2020,Br J Cancer,0
30000094,Effect of selamectin on MCF-7 breast cancer cells: a study of protein kinase C activation,We investigated selamectin in MCF-7 breast cancer cells. The work focuses on protein kinase C activation. Results are reported with appropriate controls.,2016,PLOS ONE,1
30000095,Effect of metformin on HepG2 cells: a study of mitochondrial depolarisation,We investigated metformin in HepG2 cells. The work focuses on mitochondrial depolarisation. Results are reported with appropriate controls.,2022,PLOS ONE,0
30000096,Effect of moxidectin on healthy volunteers: a study of mass drug administration,We investigated moxidectin in healthy volunteers. The work focuses on mass drug administration. Results are reported with appropriate controls.,2015,J Pharm Sci,0
30000097,Effect of niclosamide on HepG2 cells: a study of WNT signalling inhibition,We investigated niclosamide in HepG2 cells. The work focuses on WNT signalling inhibition. Results are reported with appropriate controls.,2018,Br J Cancer,0
30000098,Effect of ivermectin on murine scabies: a study of pharmacokinetics,We investigated ivermectin in murine scabies. The work focuses on pharmacokinetics. Results are reported with appropriate controls.,2023,J Pharm Sci,0
30000099,Effect of selamectin on Onchocerca volvulus: a study of resistance surveillance,We investigated selamectin in Onchocerca volvulus. The work focuses on resistance surveillance. Results are reported with appropriate controls.,2024,Parasitology,0
30000100,Effect of moxidectin on murine scabies: a study of mitochondrial depolarisation,We investigated moxidectin in murine scabies. The work focuses on mitochondrial depolarisation. Results are reported with appropriate controls.,2026,J Pharm Sci,0
30000101,Effect of praziquantel on Anopheles gambiae: a study of resistance surveillance,We investigated praziquantel in Anopheles gambiae. The work focuses on resistance surveillance. Results are reported with appropriate controls.,2015,Parasitology,0
30000102,Effect of selamectin on Huh7 hepatocellular carcinoma cells: a study of formulation stability,We investigated selamectin in Huh7 hepatocellular carcinoma cells. The work focuses on formulation stability. Results are reported with appropriate controls.,2026,PLOS ONE,0
30000103,Effect of albendazole on murine scabies: a study of mitochondrial depolarisation,We investigated albendazole in murine scabies. The work focuses on mitochondrial depolarisation. Results are reported with appropriate controls.,2017,J Pharm Sci,0
30000104,Effect of ivermectin on U87MG glioblastoma cells: a study of mass drug administration,We investigated ivermectin in U87MG glioblastoma cells. The work focuses on mass drug administration. Results are reported with appropriate controls.,2024,Br J Cancer,0
30000105,Effect of ivermectin on U87MG glioblastoma cells: a study of WNT signalling inhibition,We investigated ivermectin in U87MG glioblastoma cells. The work focuses on WNT signalling inhibition. Results are reported with appropriate controls.,2019,Br J Cancer,1
30000106,Effect of chloroquine on U87MG glioblastoma cells: a study of pharmacokinetics,We investigated chloroquine in U87MG glioblastoma cells. The work focuses on pharmacokinetics. Results are reported with appropriate controls.,2026,Parasitology,0
30000107,Effect of praziquantel on Huh7 hepatocellular carcinoma cells: a study of protein kinase C activation,We investigated praziquantel in Huh7 hepatocellular carcinoma cells. The work focuses on protein kinase C activation. Results are reported with appropriate controls.,2017,PLOS ONE,0
30000108,Effect of doxycycline on Onchocerca volvulus: a study of PAK1 downregulation,We investigated doxycycline in Onchocerca volvulus. The work focuses on PAK1 downregulation. Results are reported with appropriate controls. Previous work in HepG2 cells reported inhibition of growth.,2024,Oncol Rep,0
30000109,Effect of albendazole on healthy volunteers: a study of protein kinase C activation,We investigated albendazole in healthy volunteers. The work focuses on protein kinase C activation. Results are reported with appropriate controls.,2017,Parasitology,0
30000110,Effect of ivermectin on murine scabies: a study of mass drug administration,We investigated ivermectin in murine scabies. The work focuses on mass drug administration. Results are reported with appropriate controls.,2026,Br J Cancer,0
30000111,Effect of ivermectin on HepG2 cells: a study of protein kinase C activation,We investigated ivermectin in HepG2 cells. The work focuses on protein kinase C activation. Results are reported with appropriate controls.,2018,Br J Cancer,1
30000112,Effect of praziquantel on Onchocerca volvulus: a study of pharmacokinetics,We investigated praziquantel in Onchocerca volvulus. The work focuses on pharmacokinetics. Results are reported with appropriate controls.,2021,Parasitology,0
30000113,Effect of selamectin on MCF-7 breast cancer cells: a study of resistance surveillance,We investigated selamectin in MCF-7 breast cancer cells. The work focuses on resistance surveillance. Results are reported with appropriate controls.,2016,Parasitology,0
30000114,Effect of avermectin B1 on Huh7 hepatocellular carcinoma cells: a study of PAK1 downregulation,We investigated avermectin B1 in Huh7 hepatocellular carcinoma cells. The work focuses on PAK1 downregulation. Results are reported with appropriate controls.,2015,Br J Cancer,1
30000115,Effect of doxycycline on murine scabies: a study of PAK1 downregulation,We investigated doxycycline in murine scabies. The work focuses on PAK1 downregulation. Results are reported with appropriate controls.,2016,PLOS ONE,0
30000116,Effect of selamectin on Onchocerca volvulus: a study of mitochondrial depolarisation,We investigated selamectin in Onchocerca volvulus. The work focuses on mitochondrial depolarisation. Results are reported with appropriate controls.,2020,Parasitology,0
30000117,Effect of albendazole on Anopheles gambiae: a study of mitochondrial depolarisation,We investigated albendazole in Anopheles gambiae. The work focuses on mitochondrial depolarisation. Results are reported with appropriate controls.,2019,J Pharm Sci,0
30000118,Effect of avermectin B1 on murine scabies: a study of PAK1 downregulation,We investigated avermectin B1 in murine scabies. The work focuses on PAK1 downregulation. Results are reported with appropriate controls.,2022,Parasitology,0
30000119,Effect of niclosamide on healthy volunteers: a study of formulation stability,We investigated niclosamide in healthy volunteers. The work focuses on formulation stability. Results are reported with appropriate controls. Previous work in HepG2 cells reported inhibition of growth.,2025,J Pharm Sci,0
30000120,Effect of avermectin B1 on MCF-7 breast cancer cells: a study of mitochondrial depolarisation,We investigated avermectin B1 in MCF-7 breast cancer cells. The work focuses on mitochondrial depolarisation. Results are reported with appropriate controls.,2016,PLOS ONE,1
30000121,Effect of praziquantel on MCF-7 breast cancer cells: a study of protein kinase C activation,We investigated praziquantel in MCF-7 breast cancer cells. The work focuses on protein kinase C activation. Results are reported with appropriate controls.,2020,Parasitology,0
30000122,Effect of ivermectin on Onchocerca volvulus: a study of resistance surveillance,We investigated ivermectin in Onchocerca volvulus. The work focuses on resistance surveillance. Results are reported with appropriate controls.,2016,Parasitology,0
30000123,Effect of ivermectin on Caenorhabditis elegans: a study of PAK1 downregulation,We investigated ivermectin in Caenorhabditis elegans. The work focuses on PAK1 downregulation. Results are reported with appropriate controls.,2020,Parasitology,0
30000124,Effect of niclosamide on healthy volunteers: a study of formulation stability,We investigated niclosamide in healthy volunteers. The work focuses on formulation stability. Results are reported with appropriate controls.,2025,J Pharm Sci,0
30000125,Effect of ivermectin on Onchocerca volvulus: a study of protein kinase C activation,We investigated ivermectin in Onchocerca volvulus. The work focuses on protein kinase C activation. Results are reported with appropriate controls.,2017,J Pharm Sci,0
30000126,Effect of ivermectin on Anopheles gambiae: a study of formulation stability,We investigated ivermectin in Anopheles gambiae. The work focuses on formulation stability. Results are reported with appropriate controls.,2016,J Pharm Sci,0
30000127,Effect of niclosamide on Caenorhabditis elegans: a study of PAK1 downregulation,We investigated niclosamide in Caenorhabditis elegans. The work focuses on PAK1 downregulation. Results are reported with appropriate controls.,2016,Br J Cancer,0
30000128,Effect of albendazole on U87MG glioblastoma cells: a study of formulation stability,We investigated albendazole in U87MG glioblastoma cells. The work focuses on formulation stability. Results are reported with appropriate controls.,2022,J Pharm Sci,0
30000129,Effect of niclosamide on murine scabies: a study of PAK1 downregulation,We investigated niclosamide in murine scabies. The work focuses on PAK1 downregulation. Results are reported with appropriate controls.,2015,Oncol Rep,0
30000130,Effect of metformin on Onchocerca volvulus: a study of mitochondrial depolarisation,We investigated metformin in Onchocerca volvulus. The work focuses on mitochondrial depolarisation. Results are reported with appropriate controls. Previous work in HepG2 cells reported inhibition of growth.,2022,Br J Cancer,0
30000131,Effect of ivermectin on healthy volunteers: a study of mitochondrial depolarisation,We investigated ivermectin in healthy volunteers. The work focuses on mitochondrial depolarisation. Results are reported with appropriate controls.,2022,Parasitology,0
30000132,Effect of praziquantel on healthy volunteers: a study of mitochondrial depolarisation,We investigated praziquantel in healthy volunteers. The work focuses on mitochondrial depolarisation. Results are reported with appropriate controls.,2026,PLOS ONE,0
30000133,Effect of albendazole on HepG2 cells: a study of mitochondrial depolarisation,We investigated albendazole in HepG2 cells. The work focuses on mitochondrial depolarisation. Results are reported with appropriate controls.,2020,Oncol Rep,0
30000134,Effect of moxidectin on MCF-7 breast cancer cells: a study of mitochondrial depolarisation,We investigated moxidectin in MCF-7 breast cancer cells. The work focuses on mitochondrial depolarisation. Results are reported with appropriate controls.,2024,PLOS ONE,1
30000135,Effect of avermectin B1 on Huh7 hepatocellular carcinoma cells: a study of resistance surveillance,We investigated avermectin B1 in Huh7 hepatocellular carcinoma cells. The work focuses on resistance surveillance. Results are reported with appropriate controls.,2017,PLOS ONE,0
30000136,Effect of avermectin B1 on Anopheles gambiae: a study of mitochondrial depolarisation,We investigated avermectin B1 in Anopheles gambiae. The work focuses on mitochondrial depolarisation. Results are reported with appropriate controls. Previous work in HepG2 cells reported inhibition of growth.,2017,Oncol Rep,0
30000137,Effect of avermectin B1 on U87MG glioblastoma cells: a study of resistance surveillance,We investigated avermectin B1 in U87MG glioblastoma cells. The work focuses on resistance surveillance. Results are reported with appropriate controls.,2018,Oncol Rep,0
