gene_id,ctrl_1,ctrl_2,ctrl_3,treat_1,treat_2,treat_3
ENSG00000205,88,108,180,264,85,124
ENSG00000206,18,29,30,52,23,13
ENSG00000207,85,93,37,172,28,56
ENSG00000208,745,784,1487,5170,2412,2976
ENSG00000209,44,52,21,48,12,8
ENSG00000210,73,23,79,117,78,77
ENSG00000211,299,353,445,2060,433,546
ENSG00000212,12,20,15,57,17,11
ENSG00000213,51,73,87,232,59,24
ENSG00000214,4,3,13,41,4,6
ENSG00000215,67,71,144,69,26,115
ENSG00000216,39,27,61,89,37,29
ENSG00000217,86,59,84,110,68,23
ENSG00000218,19,48,57,182,70,43
ENSG00000219,71,41,39,143,61,57
ENSG00000220,119,43,85,305,32,74
ENSG00000221,121,43,159,244,81,55
ENSG00000222,2,6,5,21,6,11
ENSG00000223,36,7,14,44,9,12
ENSG00000224,10,2,4,15,2,4
ENSG00000225,14,20,34,32,20,20
ENSG00000226,1265,860,1727,4130,1122,775
ENSG00000227,19,59,70,67,36,54
ENSG00000228,11,10,30,65,18,13
ENSG00000229,142,126,28,720,202,210
ENSG00000230,62,94,296,435,160,177
ENSG00000231,334,472,193,437,175,113
ENSG00000232,988,783,658,1374,653,295
ENSG00000233,42,37,77,166,19,4
ENSG00000234,79,49,69,117,40,34
ENSG00000235,72,108,136,139,37,21
ENSG00000236,21,29,31,79,24,10
ENSG00000237,85,228,137,296,118,221
ENSG00000238,17,37,14,114,45,31
ENSG00000239,5,8,14,7,1,4
ENSG00000240,1454,1141,1445,2591,1236,1070
ENSG00000241,330,214,53,1094,318,434
ENSG00000242,76,49,77,140,108,102
ENSG00000243,359,191,371,977,335,343
ENSG00000244,120,45,105,90,91,52
ENSG00000245,894,704,1202,2485,486,415
ENSG00000246,461,311,393,754,154,131
ENSG00000247,43,89,43,223,64,42
ENSG00000248,37,24,26,160,34,39
ENSG00000249,14,23,24,27,8,13
ENSG00000250,135,48,113,975,215,125
ENSG00000251,197,148,215,389,297,122
ENSG00000252,92,97,117,271,75,99
ENSG00000253,84,91,74,159,111,28
ENSG00000254,474,604,644,491,278,199
ENSG00000255,171,131,280,796,145,203
ENSG00000256,29,20,27,164,83,31
ENSG00000257,7,14,12,33,14,14
ENSG00000258,260,282,564,2420,707,875
ENSG00000259,334,307,292,850,270,549
ENSG00000260,44,29,53,225,93,62
ENSG00000261,93,68,132,312,66,133
ENSG00000262,8,1,13,29,9,11
ENSG00000263,38,45,75,29,58,26
ENSG00000264,57,65,78,96,76,62
ENSG00000265,253,297,759,1420,599,752
ENSG00000266,891,1363,1543,1262,3173,2952
ENSG00000267,2003,2843,2302,4860,6536,5244
ENSG00000268,22,48,67,159,96,59
ENSG00000269,88,79,126,176,75,85
ENSG00000270,162,132,232,188,70,87
ENSG00000271,41,52,80,141,115,60
ENSG00000272,12,6,11,50,11,15
ENSG00000273,158,93,150,173,113,135
ENSG00000274,1,4,1,3,1,6
ENSG00000275,45,108,67,369,124,75
ENSG00000276,32,38,45,251,78,85
ENSG00000277,16,41,64,94,21,35
ENSG00000278,10,5,12,21,8,11
ENSG00000279,94,17,86,170,83,113
ENSG00000280,39,28,53,162,74,99
ENSG00000281,26,14,25,27,10,10
ENSG00000282,94,75,152,359,60,114
ENSG00000283,1,3,5,19,2,5
ENSG00000284,58,37,49,46,27,68
ENSG00000285,21,0,13,26,11,9
ENSG00000286,8,7,17,32,6,2
ENSG00000287,37,144,212,697,413,182
ENSG00000288,47,75,99,155,51,90
ENSG00000289,13,19,35,72,69,19
ENSG00000290,28,36,97,84,28,34
ENSG00000291,486,714,518,1431,439,367
ENSG00000292,13,11,19,42,23,30
ENSG00000293,16,42,38,61,59,30
ENSG00000294,7,11,5,18,4,2
ENSG00000295,21,24,12,20,4,10
ENSG00000296,208,167,154,470,245,156
ENSG00000297,360,231,172,555,150,118
ENSG00000298,32,54,79,97,63,33
ENSG00000299,116,252,223,202,221,112
ENSG00000300,27,24,24,55,23,13
ENSG00000301,18,32,15,29,12,18
ENSG00000302,12,2,16,31,7,5
ENSG00000303,15,6,9,26,16,10
ENSG00000304,15,7,11,25,17,11
ENSG00000305,42,94,107,185,70,47
ENSG00000306,11,6,12,28,11,6
ENSG00000307,107,109,62,283,54,131
ENSG00000308,14,13,30,79,16,31
ENSG00000309,310,100,297,764,300,356
ENSG00000310,49,47,42,83,45,43
ENSG00000311,79,69,64,126,51,60
ENSG00000312,16,7,9,50,16,14
ENSG00000313,126,132,280,170,81,109
ENSG00000314,856,702,655,691,254,381
ENSG00000315,19,13,16,30,10,6
ENSG00000316,13,4,17,31,6,4
ENSG00000317,143,74,92,637,141,270
ENSG00000318,526,1263,750,2218,680,498
ENSG00000319,55,107,101,427,94,87
ENSG00000320,3,5,1,33,5,3
ENSG00000321,5,1,4,19,13,6
ENSG00000322,388,301,723,2797,468,705
ENSG00000323,26,9,25,65,34,44
ENSG00000324,9,9,28,89,15,16
ENSG00000325,21,20,27,79,54,57
ENSG00000326,57,79,75,115,58,34
ENSG00000327,1246,2050,925,6763,1472,1814
ENSG00000328,52,41,45,114,35,50
ENSG00000329,2,22,15,42,19,11
ENSG00000330,6,16,15,22,11,3
ENSG00000331,45,161,107,155,128,113
ENSG00000332,128,24,121,277,162,103
ENSG00000333,30,27,39,145,84,22
ENSG00000334,869,490,1486,2581,379,549
ENSG00000335,107,56,120,10534,3284,2606
ENSG00000336,279,206,240,714,392,192
ENSG00000337,27,41,36,110,21,32
ENSG00000338,227,148,171,688,102,248
ENSG00000339,16,8,20,23,16,7
ENSG00000340,12,6,7,48,15,7
ENSG00000341,69,17,44,115,54,19
ENSG00000342,263,372,234,729,551,273
ENSG00000343,3,2,3,4,4,6
ENSG00000344,0,4,3,4,4,3
ENSG00000345,33,59,65,162,61,56
ENSG00000346,184,30,29,309,153,69
ENSG00000347,56,197,148,503,185,99
ENSG00000348,2,8,2,29,9,7
ENSG00000349,17,3,12,94,26,21
ENSG00000350,7,3,3,40,22,4
ENSG00000351,879,419,494,4750,2111,3355
ENSG00000352,3,0,2,13,3,2
ENSG00000353,38,31,28,425,176,107
ENSG00000354,43,24,25,278,55,90
ENSG00000355,81,37,89,238,129,48
ENSG00000356,5,10,24,43,7,12
ENSG00000357,1,1,2,3,0,2
ENSG00000358,62,46,89,223,171,83
ENSG00000359,45,36,63,206,56,52
ENSG00000360,89,28,100,287,133,39
ENSG00000361,25,22,22,105,41,31
ENSG00000362,1278,1813,792,12873,2736,2481
ENSG00000363,33,41,37,36,11,6
ENSG00000364,28,60,58,151,22,17
ENSG00000365,1,6,8,54,11,6
ENSG00000366,385,486,470,635,328,218
ENSG00000367,23,11,40,51,36,10
ENSG00000368,29,7,9,34,11,11
ENSG00000369,186,57,128,195,128,65
ENSG00000370,83,64,80,126,65,41
ENSG00000371,78,45,42,240,30,98
ENSG00000372,13,2,6,53,4,7
ENSG00000373,29,85,26,190,35,47
ENSG00000374,36,47,22,125,28,42
ENSG00000375,184,249,434,513,136,141
ENSG00000376,212,82,252,524,193,124
ENSG00000377,56,10,64,215,27,52
ENSG00000378,75,87,55,107,61,27
ENSG00000379,783,926,535,1661,966,490
ENSG00000380,519,656,1143,1382,696,521
ENSG00000381,111,48,151,498,183,149
ENSG00000382,31,25,51,120,28,37
ENSG00000383,2,2,6,14,6,8
ENSG00000384,120,132,136,310,183,67
ENSG00000385,10,12,30,51,34,8
ENSG00000386,227,375,431,2225,591,605
ENSG00000387,90,232,128,407,175,244
ENSG00000388,51,26,76,638,93,139
ENSG00000389,70,34,174,77,111,75
ENSG00000390,12,12,25,69,24,13
ENSG00000391,83,55,52,100,79,76
ENSG00000392,124,98,145,32,68,26
ENSG00000393,283,303,426,1356,622,373
ENSG00000394,0,1,5,16,1,3
ENSG00000395,545,356,398,1379,1199,591
ENSG00000396,2,1,3,10,9,1
ENSG00000397,75,76,118,284,30,39
ENSG00000398,17,17,22,28,22,30
ENSG00000399,87,28,73,120,77,143
ENSG00000400,139,115,134,197,172,66
ENSG00000401,48,84,71,132,32,59
ENSG00000402,7,15,23,18,19,10
ENSG00000403,2,4,5,42,2,7
ENSG00000404,19,22,17,20,25,43
ENSG00000405,8,15,12,30,13,36
ENSG00000406,14,43,64,197,55,46
ENSG00000407,2,17,11,10,3,2
ENSG00000408,28,11,20,34,10,5
ENSG00000409,197,135,335,310,250,125
ENSG00000410,15,11,17,1,2,1
ENSG00000411,926,516,894,2040,818,1470
ENSG00000412,55,116,262,363,179,165
ENSG00000413,785,993,1269,2100,1157,752
ENSG00000414,7,1,1,6,6,5
ENSG00000415,68,45,117,299,45,79
ENSG00000416,1056,2433,2125,6299,2505,2354
ENSG00000417,17,17,18,22,9,22
ENSG00000418,675,706,525,2562,1053,641
ENSG00000419,51,9,24,85,43,17
ENSG00000420,81,79,143,88,95,65
ENSG00000421,21,24,9,10,3,4
ENSG00000422,32,39,35,163,214,50
ENSG00000423,62,42,49,10,6,6
ENSG00000424,134,140,212,377,139,114
ENSG00000425,131,78,139,394,156,195
ENSG00000426,1365,1364,2244,13969,2415,3922
ENSG00000427,2192,2487,4816,35966,2313,3907
ENSG00000428,10,13,9,25,14,5
ENSG00000429,81,50,93,198,76,70
ENSG00000430,20,20,46,284,84,40
ENSG00000431,148,73,247,505,315,90
ENSG00000432,279,231,328,698,360,250
ENSG00000433,5,25,35,49,40,14
ENSG00000434,13,5,11,13,19,14
ENSG00000435,8,13,10,11,10,10
ENSG00000436,56,88,106,578,246,192
ENSG00000437,213,63,164,182,79,64
ENSG00000438,5,7,8,30,4,0
ENSG00000439,17,5,18,79,26,22
ENSG00000440,39,105,55,200,34,51
ENSG00000441,1460,932,2079,7346,1786,1491
ENSG00000442,121,99,179,409,57,128
ENSG00000443,10,35,19,27,23,28
ENSG00000444,27,32,18,63,10,13
ENSG00000445,552,878,987,1934,328,549
ENSG00000446,13,10,5,24,1,10
ENSG00000447,21,17,44,17,5,3
ENSG00000448,85,113,88,255,67,102
ENSG00000449,50,42,24,163,29,18
ENSG00000450,162,207,204,1551,611,565
ENSG00000451,4,8,2,10,9,2
ENSG00000452,308,264,203,255,40,74
ENSG00000453,336,116,469,728,287,251
ENSG00000454,24,69,63,67,36,36
ENSG00000455,26,31,22,55,29,15
ENSG00000456,78,55,64,634,121,93
ENSG00000457,297,205,293,394,149,164
ENSG00000458,49,19,42,110,36,29
ENSG00000459,7,5,7,58,15,8
ENSG00000460,109,62,60,129,141,141
ENSG00000461,78,117,134,168,110,241
ENSG00000462,15,5,26,28,21,20
ENSG00000463,159,189,333,736,106,185
ENSG00000464,63,42,42,117,46,37
ENSG00000465,18,30,23,152,75,17
ENSG00000466,510,1118,302,1807,472,590
ENSG00000467,9,5,17,13,11,7
ENSG00000468,95,156,145,349,340,111
ENSG00000469,47,32,58,171,41,43
ENSG00000470,15,18,12,95,16,27
ENSG00000471,62,33,90,373,151,163
ENSG00000472,40,46,44,196,161,120
ENSG00000473,1683,2035,1434,4290,1402,1592
ENSG00000474,20,15,26,49,37,26
ENSG00000475,330,249,366,784,401,460
ENSG00000476,124,160,141,307,96,28
ENSG00000477,309,106,223,340,253,166
ENSG00000478,7,1,4,20,2,2
ENSG00000479,7,6,4,7,5,8
ENSG00000480,65,52,58,183,97,45
ENSG00000481,1,1,1,1,2,1
ENSG00000482,154,107,151,299,52,58
ENSG00000483,20,22,32,158,45,13
ENSG00000484,2189,2398,2203,7119,2375,2678
ENSG00000485,98,83,151,204,78,87
ENSG00000486,12,8,15,87,30,18
ENSG00000487,7,1,7,17,5,4
ENSG00000488,43,61,14,296,57,97
ENSG00000489,3,6,5,27,11,11
ENSG00000490,789,561,1197,1199,820,1540
ENSG00000491,18,4,13,4,3,3
ENSG00000492,7,12,10,10,1,1
ENSG00000493,1426,2486,1911,2280,1231,588
ENSG00000494,9,25,14,42,13,8
ENSG00000495,18,10,11,56,17,11
ENSG00000496,15,9,13,26,6,14
ENSG00000497,36,31,63,101,22,33
ENSG00000498,117,81,132,618,153,152
ENSG00000499,15,8,1,17,6,12
ENSG00000500,170,39,234,413,114,137
ENSG00000501,9,10,16,26,10,7
ENSG00000502,60,44,55,71,40,46
ENSG00000503,322,316,180,864,207,595
ENSG00000504,1,2,0,4,3,0
ENSG00000505,357,373,491,811,223,366
ENSG00000506,34,85,78,191,102,91
ENSG00000507,488,569,1131,17231,4664,2904
ENSG00000508,71,42,53,51,65,39
ENSG00000509,248,175,320,278,274,106
ENSG00000510,13,2,14,78,25,15
ENSG00000511,2,3,6,5,3,4
ENSG00000512,46,10,7,91,14,14
ENSG00000513,31,55,32,155,37,26
ENSG00000514,16,13,11,21,9,15
ENSG00000515,382,385,794,1823,464,251
ENSG00000516,31,24,31,86,14,52
ENSG00000517,31,42,88,126,77,73
ENSG00000518,32,53,80,115,75,47
ENSG00000519,1,2,4,2,5,3
ENSG00000520,67,120,74,319,229,55
ENSG00000521,134,66,149,584,111,105
ENSG00000522,32,26,57,91,90,43
ENSG00000523,42,24,51,126,33,32
ENSG00000524,116,133,190,777,250,142
ENSG00000525,193,210,204,557,247,215
ENSG00000526,174,194,206,251,188,59
ENSG00000527,3,9,3,30,3,5
ENSG00000528,114,44,170,454,68,75
ENSG00000529,37,15,40,158,45,17
ENSG00000530,147,136,210,365,549,328
ENSG00000531,38,23,74,34,8,11
ENSG00000532,8,6,6,20,6,1
ENSG00000533,73,40,71,695,85,113
ENSG00000534,19,9,32,86,36,21
ENSG00000535,110,171,94,685,214,205
ENSG00000536,1354,395,2066,4742,1128,1972
ENSG00000537,40,27,29,30,13,28
ENSG00000538,103,63,36,287,122,94
ENSG00000539,535,275,286,1067,518,364
ENSG00000540,125,68,79,217,66,108
ENSG00000541,6,0,9,8,3,2
ENSG00000542,51,57,32,66,51,47
ENSG00000543,1113,1151,560,1673,370,766
ENSG00000544,120,224,171,814,81,221
ENSG00000545,25,26,23,39,10,15
ENSG00000546,9,5,27,25,16,21
ENSG00000547,26,27,33,104,50,20
ENSG00000548,634,3001,1202,6304,1146,2072
ENSG00000549,169,177,95,169,60,94
ENSG00000550,36,29,30,121,22,22
ENSG00000551,352,520,916,498,117,115
ENSG00000552,7,8,27,31,7,6
ENSG00000553,152,81,120,657,318,244
ENSG00000554,75,174,324,838,433,122
ENSG00000555,221,222,564,3146,411,346
ENSG00000556,27,21,58,151,31,30
ENSG00000557,86,62,75,243,98,61
ENSG00000558,355,137,251,1471,375,861
ENSG00000559,73,22,29,61,16,19
ENSG00000560,12,17,19,28,12,25
ENSG00000561,58,59,133,101,21,82
ENSG00000562,15,7,11,64,11,12
ENSG00000563,55,34,50,165,66,82
ENSG00000564,56,28,103,97,59,70
ENSG00000565,64,93,84,161,67,44
ENSG00000566,20,32,53,172,43,34
ENSG00000567,92,117,75,338,88,130
ENSG00000568,128,46,89,380,118,107
ENSG00000569,7,7,3,8,0,1
ENSG00000570,135,222,247,511,278,106
ENSG00000571,74,57,125,194,108,101
ENSG00000572,211,306,283,150,108,211
ENSG00000573,27,36,22,36,23,20
ENSG00000574,74,72,33,245,125,113
ENSG00000575,382,556,825,1446,349,454
ENSG00000576,256,193,157,436,154,185
ENSG00000577,480,1074,1228,1294,634,673
ENSG00000578,1,0,3,14,6,3
ENSG00000579,6,4,10,26,9,9
ENSG00000580,18,5,7,48,10,6
ENSG00000581,7,3,7,3,16,6
ENSG00000582,21,10,12,129,42,42
ENSG00000583,10,9,11,7,21,2
ENSG00000584,24,16,5,9,10,9
ENSG00000585,178,87,104,617,171,100
ENSG00000586,235,106,136,162,132,97
ENSG00000587,55,28,65,143,72,48
ENSG00000588,142,244,273,804,267,445
ENSG00000589,26,45,82,161,41,44
ENSG00000590,107,111,127,306,106,135
ENSG00000591,67,106,138,384,278,214
ENSG00000592,12,4,11,81,41,34
ENSG00000593,5,4,14,15,6,7
ENSG00000594,24,32,58,115,31,30
ENSG00000595,35,22,24,88,43,18
ENSG00000596,707,1082,1347,6015,3380,2667
ENSG00000597,39,18,36,60,24,23
ENSG00000598,43,24,57,118,47,36
ENSG00000599,140,73,229,159,109,30
ENSG00000600,1487,983,2662,1979,837,1164
ENSG00000601,341,386,832,1474,413,264
ENSG00000602,1263,691,1358,8608,1920,3283
ENSG00000603,36,8,47,96,19,30
ENSG00000604,87,93,344,235,105,68
ENSG00000605,16,15,39,109,17,36
ENSG00000606,4,8,8,16,7,9
ENSG00000607,271,305,339,435,343,319
ENSG00000608,23,19,13,54,23,25
ENSG00000609,2424,941,1361,2085,638,724
ENSG00000610,2,0,0,2,4,1
ENSG00000611,30,25,17,27,9,20
ENSG00000612,143,55,31,358,57,69
ENSG00000613,841,1105,1677,4056,1159,1709
ENSG00000614,250,337,240,1093,331,268
ENSG00000615,9,10,8,33,2,10
ENSG00000616,4,6,10,14,16,5
ENSG00000617,124,76,58,740,188,81
ENSG00000618,21,12,30,47,14,6
ENSG00000619,52,46,83,112,23,18
ENSG00000620,6,4,5,9,3,1
ENSG00000621,53,79,68,412,82,127
ENSG00000622,0,4,5,3,4,3
ENSG00000623,527,925,582,1089,378,452
ENSG00000624,276,106,258,543,178,220
ENSG00000625,29,12,13,69,13,20
ENSG00000626,18,18,29,37,29,6
ENSG00000627,494,461,101,1666,229,839
ENSG00000628,5497,3283,3031,5882,3947,2037
ENSG00000629,34,24,29,174,69,71
ENSG00000630,22,31,43,40,30,29
ENSG00000631,20,26,56,83,24,53
ENSG00000632,76,53,125,108,68,55
ENSG00000633,2,1,8,6,3,4
ENSG00000634,48,90,239,253,116,67
ENSG00000635,36,21,73,160,56,37
ENSG00000636,242,847,416,924,329,260
ENSG00000637,109,125,92,126,74,154
ENSG00000638,57,64,69,130,39,30
ENSG00000639,38,13,23,112,47,16
ENSG00000640,83,49,82,368,85,164
ENSG00000641,87,98,214,505,100,113
ENSG00000642,123,81,204,517,207,60
ENSG00000643,44,33,56,162,38,31
ENSG00000644,45,63,70,168,79,68
ENSG00000645,44,81,37,91,54,44
ENSG00000646,625,1501,726,2026,529,993
ENSG00000647,78,113,69,183,31,26
ENSG00000648,111,139,241,460,141,103
ENSG00000649,26,6,7,63,25,37
ENSG00000650,138,69,135,133,87,43
ENSG00000651,28,27,15,96,36,17
ENSG00000652,16,7,18,34,13,26
ENSG00000653,70,29,90,98,25,42
ENSG00000654,5,14,14,30,13,19
ENSG00000655,3,10,11,30,8,9
ENSG00000656,210,307,418,1095,227,336
ENSG00000657,30,42,27,115,31,21
ENSG00000658,379,316,617,3143,708,793
ENSG00000659,11,19,7,34,7,12
ENSG00000660,12,16,19,44,15,17
ENSG00000661,2,4,14,12,7,11
ENSG00000662,10,10,21,25,5,5
ENSG00000663,156,65,169,116,200,93
ENSG00000664,802,848,1631,2786,865,637
ENSG00000665,171,172,126,370,189,155
ENSG00000666,29,32,15,74,42,33
ENSG00000667,31,25,59,52,19,13
ENSG00000668,24,7,6,15,12,15
ENSG00000669,91,83,73,69,37,105
ENSG00000670,227,250,362,264,187,244
ENSG00000671,25,15,28,67,17,16
ENSG00000672,32,86,67,101,44,35
ENSG00000673,62,86,106,99,111,37
ENSG00000674,33,63,33,114,31,28
ENSG00000675,30,25,56,138,49,69
ENSG00000676,101,69,118,416,139,65
ENSG00000677,362,210,294,651,302,170
ENSG00000678,259,284,487,1074,691,321
ENSG00000679,367,193,483,588,193,258
ENSG00000680,34,17,51,31,23,17
ENSG00000681,143,159,121,235,216,104
ENSG00000682,130,157,175,309,121,57
ENSG00000683,12,34,35,89,57,50
ENSG00000684,154,141,137,277,165,259
